"Date","Close","n","USDJPY","USDCHF","NZDUSD","XAUUSD","AUDUSD","GBPUSD","USDSEK","USDCAD","post.y"
2010-05-17,1.23916,4,92.58,1.1311,0.6967,1221.975,0.87727,1.4475,7.7091,1.0323,"Cash-rich defensives to gain in Europe debt crisis<br>Euro survival requires less budget sovereignty<br>Slim chance of euro zone rebalancing in Germany<br>Focus shift to economy to halt euro asset slide"
2010-05-18,1.22002,NA,92.225,1.14755,0.69375,1224.585,0.86429,1.4332,7.8474,1.03915,NA
2010-05-19,1.24124,NA,91.685,1.1503,0.67745,1193.161,0.84677,1.4442,7.7851,1.0435,NA
2010-05-20,1.24866,NA,89.67,1.1505,0.6655,1181.937,0.81675,1.4364,7.9418,1.0699,NA
2010-05-21,1.25688,NA,89.95,1.1493,0.6779,1176.334,0.83146,1.4456,7.8018,1.05905,NA
2010-05-24,1.23702,NA,90.28,1.1588,0.669,1191.125,0.82642,1.44235,7.8786,1.0624,NA
2010-05-25,1.23423,7,90.22,1.1569,0.66995,1203.459,0.8276,1.4407,7.9377,1.06725,"Intervention fears should scare off euro bears<br>Insurers eyeing Hong Kong's yuan hunger face hurdles<br>Swissie rise vs euro capped by SNB resolve<br>G20 needs to watch stability of reserves stockpile<br>Euro's slide may hit cruise cos 2010 earnings<br>Money market stress pushes back ECB rate hike<br>Euro seen heading for parity with dollar"
2010-05-26,1.21761,2,89.91,1.16045,0.6628,1211.17,0.82132,1.43865,8.0091,1.07065,"Chinese eye domination of wind turbine market<br>Yuan reform taken off the table but not for long"
2010-05-27,1.23603,1,91.03,1.15095,0.6837,1211.422,0.85131,1.458,7.8679,1.04795,"Flight from euro poses Swiss dilemma, inflation risk"
2010-05-28,1.22697,3,91.05,1.15895,0.67875,1213.667,0.84608,1.44535,7.84645,1.05445,"Australia tax seen not slowing iron ore output<br>Lurking inflation threatens to dull gilts' allure<br>EU struggles to convince markets in euro crisis"
2010-05-31,1.23042,1,91.25,1.15455,0.68025,1215.68,0.84573,1.45365,7.80775,1.04425,"Euro zone crisis: it's the politics, stupid!"
2010-06-01,1.22273,1,90.94,1.1568,0.67475,1225.253,0.83104,1.46475,7.83975,1.05505,"Euro and stocks moving in tandem, but for how long?"
2010-06-02,1.22475,2,92.115,1.1547,0.68145,1222.869,0.84192,1.4649,7.7876,1.0381,"China green car policies put locals in driver's seat<br>Supra-national SDR reserves plan gains momentum"
2010-06-03,1.21613,1,92.7,1.1564,0.68445,1206.164,0.84471,1.46125,7.8485,1.04005,"Stronger yuan? No problem, say Asia tech exporters"
